Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
80S Ribosome,RPS18B,1,YML026C
80S Ribosome,RPL26B,1,YGR034W
80S Ribosome,RPL7B,1,YPL198W
80S Ribosome,RPS1B,1,YML063W
80S Ribosome,RPL41B,1,YDL133C-A
80S Ribosome,RPS5,1,YJR123W
80S Ribosome,RPS12,1,YOR369C
80S Ribosome,RPS21A,1,YKR057W
80S Ribosome,RPS21B,1,YJL136C
80S Ribosome,RPS13,1,YDR064W
80S Ribosome,RPS23A,1,YGR118W
80S Ribosome,RPL42A,1,YNL162W
80S Ribosome,RPL37A,1,YLR185W
80S Ribosome,RPL40A,1,YIL148W
80S Ribosome,RPL34A,1,YER056C-A
80S Ribosome,RPS27A,1,YKL156W
80S Ribosome,RPL22A,1,YLR061W
80S Ribosome,RPS28A,1,YOR167C
80S Ribosome,RPS29A,1,YLR388W
80S Ribosome,RPS6A,1,YPL090C
80S Ribosome,RPL13A,1,YDL082W
80S Ribosome,RPL15A,1,YLR029C
80S Ribosome,RPS10A,1,YOR293W
80S Ribosome,RPS0A,1,YGR214W
80S Ribosome,RPS11A,1,YDR025W
80S Ribosome,RPS23B,1,YPR132W
80S Ribosome,RPL42B,1,YHR141C
80S Ribosome,RPL37B,1,YDR500C
80S Ribosome,RPL40B,1,YKR094C
80S Ribosome,RPL34B,1,YIL052C
80S Ribosome,RPS27B,1,YHR021C
80S Ribosome,RPL22B,1,YFL034C-A
80S Ribosome,RPS28B,1,YLR264W
80S Ribosome,RPS29B,1,YDL061C
80S Ribosome,RPS6B,1,YBR181C
80S Ribosome,RPL13B,1,YMR142C
80S Ribosome,RPL15B,1,YMR121C
80S Ribosome,RPS10B,1,YMR230W
80S Ribosome,RPS0B,1,YLR048W
80S Ribosome,RPS11B,1,YBR048W
80S Ribosome,RPS31,1,YLR167W
80S Ribosome,RPL43A,1,YPR043W
80S Ribosome,RPL43B,,YJR094W-A
boxh_aca_yeast,CBF5,1,YLR175W
boxh_aca_yeast,GAR1,1,YHR089C
boxh_aca_yeast,NOP10,1,YHR072W-A
20S Proteasome,PRE7,1,YBL041W
20S Proteasome,PRE6,2,YOL038W
20S Proteasome,PRE9,2,YGR135W
20S Proteasome,PRE10,1,YOR362C
20S Proteasome,PUP1,1,YOR157C
20S Proteasome,PRE2,1,YPR103W
20S Proteasome,PRE4,1,YFR050C
20S Proteasome,PUP2,1,YGR253C
20S Proteasome,PRE8,1,YML092C
20S Proteasome,PRE5,1,YMR314W
20S Proteasome,PUP3,1,YER094C
20S Proteasome,SCL1,1,YGL011C
20S Proteasome,PRE1,1,YER012W
20S Proteasome,PRE3,1,YJL001W
Mitoribosome,MRP2,1,YPR166C
Mitoribosome,MRP17,1,YKL003C
Mitoribosome,RSM23,1,YGL129C
Mitoribosome,MRP4,1,YHL004W
Mitoribosome,RSM22,1,YKL155C
